sampleName	Scer	Spar	otherAmplifiedITS	otherGrowth	substrate	fieldDate	weight	isolationTemp	hostName	site	species	hostType	latitude	longitude	elevation	circum	pH
MB1a	0	0	0	0	bark	28/08/2011	0.56	30	MB1	MB	Quercuspubescens	oak	43.64687	3.20254	280	1.13	NA
MB1b	0	0	0	0	bark	28/08/2011	0.19	30	MB1	MB	Quercuspubescens	oak	43.64687	3.20254	280	1.13	NA
MB1c	0	0	0	0	bark	28/08/2011	0.53	30	MB1	MB	Quercuspubescens	oak	43.64687	3.20254	280	1.13	NA
MB1d	0	0	0	0	bark	28/08/2011	0.64	30	MB1	MB	Quercuspubescens	oak	43.64687	3.20254	280	1.13	NA
MB2a	0	0	0	0	bark	28/08/2011	0.69	30	MB2	MB	Quercuspubescens	oak	43.64687	3.20259	280	0.84	NA
MB2b	0	0	0	0	bark	28/08/2011	0.4	30	MB2	MB	Quercuspubescens	oak	43.64687	3.20259	280	0.84	NA
MB2c	0	0	0	0	bark	28/08/2011	0.4	30	MB2	MB	Quercuspubescens	oak	43.64687	3.20259	280	0.84	NA
MB2d	0	0	0	0	bark	28/08/2011	0.2	30	MB2	MB	Quercuspubescens	oak	43.64687	3.20259	280	0.84	NA
MB3a	0	0	0	0	bark	28/08/2011	0.72	30	MB3	MB	Quercuspubescens	oak	43.64681	3.20262	280	0.85	NA
MB3b	0	0	0	0	bark	28/08/2011	0.3	30	MB3	MB	Quercuspubescens	oak	43.64681	3.20262	280	0.85	NA
MB3c	0	0	0	0	bark	28/08/2011	0.3	30	MB3	MB	Quercuspubescens	oak	43.64681	3.20262	280	0.85	NA
MB3d	0	0	0	0	bark	28/08/2011	0.25	30	MB3	MB	Quercuspubescens	oak	43.64681	3.20262	280	0.85	NA
MB4a	0	1	0	0	bark	28/08/2011	0.6	30	MB4	MB	Quercuspubescens	oak	43.64676	3.20263	283	1.37	NA
MB4b	0	1	0	0	bark	28/08/2011	0.81	30	MB4	MB	Quercuspubescens	oak	43.64676	3.20263	283	1.37	NA
MB4c	0	1	0	0	bark	28/08/2011	0.59	30	MB4	MB	Quercuspubescens	oak	43.64676	3.20263	283	1.37	NA
MB4d	0	1	0	0	bark	28/08/2011	0	30	MB4	MB	Quercuspubescens	oak	43.64676	3.20263	283	1.37	NA
MB5a	0	1	0	0	bark	28/08/2011	0.37	30	MB5	MB	Quercuspubescens	oak	43.647	3.20312	292	NA	NA
MB5b	0	1	0	0	bark	28/08/2011	0.45	30	MB5	MB	Quercuspubescens	oak	43.647	3.20312	292	NA	NA
MB5c	0	0	0	0	bark	28/08/2011	0.27	30	MB5	MB	Quercuspubescens	oak	43.647	3.20312	292	NA	NA
MB5d	0	0	0	0	bark	28/08/2011	0.56	30	MB5	MB	Quercuspubescens	oak	43.647	3.20312	292	NA	NA
MB6a	0	0	0	0	bark	28/08/2011	0.64	30	MB6	MB	Quercusilex	oak	43.64702	3.20308	294	NA	NA
MB6b	0	0	0	0	bark	28/08/2011	0.57	30	MB6	MB	Quercusilex	oak	43.64702	3.20308	294	NA	NA
MB6c	0	0	0	1	bark	28/08/2011	1.04	30	MB6	MB	Quercusilex	oak	43.64702	3.20308	294	NA	NA
MB6d	0	0	0	0	bark	28/08/2011	0.64	30	MB6	MB	Quercusilex	oak	43.64702	3.20308	294	NA	NA
MB7a	0	0	0	0	bark	28/08/2011	0.16	30	MB7	MB	Quercuspubescens	oak	43.64701	3.20304	295	NA	NA
MB7b	0	0	0	1	bark	28/08/2011	0.39	30	MB7	MB	Quercuspubescens	oak	43.64701	3.20304	295	NA	NA
MB7c	1	0	0	0	bark	28/08/2011	1.1	30	MB7	MB	Quercuspubescens	oak	43.64701	3.20304	295	NA	NA
MB7d	0	0	0	1	bark	28/08/2011	0.31	30	MB7	MB	Quercuspubescens	oak	43.64701	3.20304	295	NA	NA
MB8a	0	0	0	0	bark	28/08/2011	0.56	30	MB8	MB	Quercuspubescens	oak	43.64704	3.20298	293	NA	NA
MB8b	0	0	0	1	bark	28/08/2011	0.42	30	MB8	MB	Quercuspubescens	oak	43.64704	3.20298	293	NA	NA
MB8c	0	0	0	0	bark	28/08/2011	0.45	30	MB8	MB	Quercuspubescens	oak	43.64704	3.20298	293	NA	NA
MB8d	0	0	0	1	bark	28/08/2011	0.42	30	MB8	MB	Quercuspubescens	oak	43.64704	3.20298	293	NA	NA
MB9a	0	0	0	0	bark	28/08/2011	0.79	30	MB9	MB	Quercuspubescens	oak	43.64707	3.20292	286	0.42	NA
MB9b	0	0	0	1	bark	28/08/2011	1.27	30	MB9	MB	Quercuspubescens	oak	43.64707	3.20292	286	0.42	NA
MB9c	0	0	0	1	bark	28/08/2011	1.1	30	MB9	MB	Quercuspubescens	oak	43.64707	3.20292	286	0.42	NA
