hostName	ScerCount	SparCount	otherAmplifiedITScount	otherGrowthCount	sampleCount	site	species	hostType	latitude	longitude	elevation	circum	pH	tmaxlatitude	tmaxlongitude	maxtemp
FRI3	0	1	0	3	4	FRI	Quercusrobur	oak	50.928233	-1.6559	103.9	NA	3.5	50.925	-1.658333	213
FRI4	0	1	0	2	4	FRI	Quercusrobur	oak	50.928267	-1.655633	75	3.79	3.5	50.925	-1.658333	214
FRI5	0	0	1	3	4	FRI	Quercusrobur	oak	50.928067	-1.656	113.4	2.83	4.5	50.925	-1.658333	213
FRI6	0	1	0	3	4	FRI	Quercusrobur	oak	50.928783	-1.6559	88.1	3.4	4	50.925	-1.658333	213
FRI7	0	0	0	3	4	FRI	Quercusrobur	oak	50.927833	-1.65565	87.2	3.21	3.5	50.925	-1.658333	214
FRI8	0	0	0	3	4	FRI	Quercusrobur	oak	50.928467	-1.655117	87.5	NA	4.5	50.925	-1.658333	214
FRI9	0	0	3	3	4	FRI	Quercusrobur	oak	50.928467	-1.655117	90.5	3.43	4.5	50.925	-1.658333	214
IGC1	0	0	2	6	11	IGC	Ficuscarica	fig	38.69225	-9.3165	NA	NA	NA	38.69167	-9.316667	259
IXI	0	0	0	7	10	PAR	Vitisvinifera	grape	38.12512	23.85559	373	NA	NA	38.125	23.85833	308
LBW1	0	0	0	1	6	LBW	Quercuspetraea	oak	53.377192	-1.6928925	244	1.75	5	53.375	-1.691667	196
LBW2	0	7	7	2	20	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5	53.375	-1.691667	196
LBW4	0	0	0	0	3	LBW	Quercuspetraea	oak	53.377958	-1.6937589	310	NA	3.5	53.375	-1.691667	196
LBW5	0	0	0	0	3	LBW	Quercuspetraea	oak	53.379146	-1.6871812	286	2.73	3.5	53.375	-1.683333	195
MB1	0	0	0	0	4	MB	Quercuspubescens	oak	43.64687	3.20254	280	1.13	NA	43.65	3.2	280
MB10	0	0	1	2	4	MB	Quercuspubescens	oak	43.64716	3.20309	285	0.51	NA	43.65	3.2	280
MB11	0	1	0	1	4	MB	Quercuspubescens	oak	43.64719	3.20307	284	NA	NA	43.65	3.2	280
MB12	0	0	0	4	4	MB	Quercusilex	oak	43.64713	3.20315	283	0.72	NA	43.65	3.2	280
MB13	0	1	0	0	4	MB	Quercusilex	oak	43.64704	3.20321	307	0.71	NA	43.65	3.2	280
MB14	0	0	0	0	4	MB	Quercusilex	oak	43.64703	3.20326	302	0.86	NA	43.65	3.2	280
MB15	0	1	1	1	3	MB	Quercusilex	oak	43.64705	3.2033	303	0.6	NA	43.65	3.2	280
MB2	0	0	0	0	4	MB	Quercuspubescens	oak	43.64687	3.20259	280	0.84	NA	43.65	3.2	280
MB3	0	0	0	0	4	MB	Quercuspubescens	oak	43.64681	3.20262	280	0.85	NA	43.65	3.2	280
MB4	0	4	0	0	4	MB	Quercuspubescens	oak	43.64676	3.20263	283	1.37	NA	43.65	3.2	280
MB5	0	2	0	0	4	MB	Quercuspubescens	oak	43.647	3.20312	292	NA	NA	43.65	3.2	280
MB6	0	0	0	1	4	MB	Quercusilex	oak	43.64702	3.20308	294	NA	NA	43.65	3.2	280
MB7	1	0	0	2	4	MB	Quercuspubescens	oak	43.64701	3.20304	295	NA	NA	43.65	3.2	280
MB8	0	0	0	2	4	MB	Quercuspubescens	oak	43.64704	3.20298	293	NA	NA	43.65	3.2	280
MB9	0	0	0	3	4	MB	Quercuspubescens	oak	43.64707	3.20292	286	0.42	NA	43.65	3.2	280
OCK1	0	1	0	1	4	OCK	Quercuspetraea	oak	50.906917	-1.646517	137.5	0.88	5	50.90833	-1.65	215
OCK10	0	0	0	1	4	OCK	Quercusrobur	oak	50.907217	-1.649033	110.9	1.77	5	50.90833	-1.65	213
OCK11	0	2	1	1	4	OCK	Quercuspetraea	oak	50.90535	-1.646633	114.9	2.45	3.5	50.90833	-1.65	215
OCK12	0	0	0	1	4	OCK	Quercuspetraea	oak	50.904417	-1.647067	112.5	2.45	3	50.90833	-1.65	215
OCK13	0	0	0	2	3	OCK	Quercuspetraea	oak	50.904533	-1.647117	96.6	1.49	3	50.90833	-1.65	215
OCK14	0	0	0	0	4	OCK	Quercusrobur	oak	50.904367	-1.647283	96	3	4.5	50.90833	-1.65	215
OCK15	0	0	1	0	4	OCK	Quercusrobur	oak	50.904467	-1.645533	116.1	1.95	4	50.90833	-1.641667	215
OCK2	0	0	0	0	4	OCK	Quercusrobur	oak	50.907017	-1.64645	138.5	0.7	4	50.90833	-1.65	215
OCK3	0	0	0	0	4	OCK	Quercuspetraea	oak	50.908333	-1.648217	97.2	0.655	4.5	50.90833	-1.65	213
OCK4	0	0	0	0	4	OCK	Quercuspetraea	oak	50.908683	-1.648533	84.4	0.89	4	50.90833	-1.65	213
OCK5	0	0	2	0	4	OCK	Quercusrobur	oak	50.908517	-1.649183	108.8	1.21	4.5	50.90833	-1.65	213
OCK6	0	0	1	0	4	OCK	Quercuspetraea	oak	50.908733	-1.648433	110.3	1.22	4	50.90833	-1.65	213
OCK7	0	1	1	0	4	OCK	Quercuspetraea	oak	50.908517	-1.648833	103.9	0.86	4	50.90833	-1.65	213
OCK8	0	0	0	1	4	OCK	Quercusrobur	oak	50.908433	-1.64875	103	0.89	5	50.90833	-1.65	213
OCK9	0	0	0	0	4	OCK	Quercuspetraea	oak	50.9085	-1.6506	101.5	1.8	3.5	50.90833	-1.65	213
PAR1	0	0	0	1	4	PAR	Quercuspubescens	oak	38.17258	23.78977	586	NA	NA	38.175	23.79167	293
PAR10	0	1	0	2	4	PAR	Quercuspubescens	oak	38.18383	23.78985	641	1.41	NA	38.18333	23.79167	298
PAR11	0	0	0	0	4	PAR	Quercuspubescens	oak	38.18396	23.79594	650	1.17	NA	38.18333	23.8	299
PAR12	0	0	0	1	4	PAR	Quercuspubescens	oak	38.18417	23.79596	644	1.81	NA	38.18333	23.8	299
PAR13	0	0	1	0	4	PAR	Quercuspubescens	oak	38.1842	23.79594	644	1.465	NA	38.18333	23.8	299
PAR14	0	0	0	3	4	PAR	Quercuspubescens	oak	38.18419	23.796	644	1.44	NA	38.18333	23.8	299
PAR15	0	0	0	0	4	PAR	Quercuspubescens	oak	38.18461	23.79733	643	1.16	NA	38.18333	23.8	299
PAR2	0	0	0	2	4	PAR	Quercuspubescens	oak	38.17262	23.78981	586	1.16	NA	38.175	23.79167	293
PAR3	0	0	0	0	4	PAR	Quercuspubescens	oak	38.17258	23.78981	586	1.12	NA	38.175	23.79167	293
PAR4	0	0	0	3	4	PAR	Quercuspubescens	oak	38.17262	23.78782	588	1.36	NA	38.175	23.79167	293
PAR5	0	0	0	1	4	PAR	Quercuspubescens	oak	38.1727	23.78996	591	0.73	NA	38.175	23.79167	293
PAR6	0	0	0	4	4	PAR	Quercuspubescens	oak	38.17256	23.78952	595	0.23	NA	38.175	23.79167	293
PAR7	0	0	0	2	4	PAR	Quercusilex	oak	38.18349	23.79356	639	0.52	NA	38.18333	23.79167	298
PAR8	0	0	0	1	4	PAR	Quercuspubescens	oak	38.18386	23.7942	644	0.83	NA	38.18333	23.79167	299
